판정선속도					
6					
노트개수					
260	
시간	노트	높이	연출     연출은 2초뒤에
0.36	DOWN	3	0
2.36	0	0	1
2.36	UP	1	0
4.36	0	3	3
4.36	A	1	0
6.36	S	2	0
7.60	DOWN	3	0
8.36	D	3	0
8.86	S	2	0
9.36	D	3	0
9.86	S	2	0
10.36	D	3	0
10.86	S	2	0
11.36	D	3	0
11.86	S	2	0
12.36	D	3	0
12.86	S	2	0
13.36	D	3	0
13.86	S	2	0
14.36	D	3	0
14.86	S	2	0
15.36	D	3	0
15.86	A	1	0
17.35	UP	3	0
17.58	UP	3	0
17.86	0	0	4
18.36	D	3	0
18.86	DOWN	2	0
20.56	A	1	0
20.86	0	0	2
21.37	S	2	0
22.11	S	2	0
23.34	UP	2	0
25.25	DOWN	3	0
25.34	0	0	3
25.34	0	0	6
25.86	UP	1	0
27.25	DOWN	2	0
27.25	0	0	1
27.86	UP	1	0
27.86	0	0	2
29.25	0	0	1
29.33	UP	3	0
29.56	S	2	0
29.86	UP	3	0
29.86	0	0	3
31.36	S	2	0
31.86	D	3	0
32.10	D	3	0
33.25	DOWN	3	0
33.86	UP	1	0
35.25	DOWN	2	0
35.25	0	0	1
35.86	UP	1	0
35.86	0	0	2
37.25	0	0	1
37.86	0	0	3
39.60	DOWN	3	0
40.30	UP	2	0
41.60	DOWN	3	0
41.60	0	0	2
41.95	0	0	3
42.30	UP	2	0
42.30	0	0	4
42.30	0	0	6
42.45	0	0	5
43.55	D	3	0
43.60	0	0	2
43.95	0	0	3
44.07	S	2	0
44.30	0	0	6
44.30	0	0	5
44.86	D	3	0
45.28	S	2	0
46.13	DOWN	1	0
47.60	DOWN	2	0
48.13	0	0	2
48.30	UP	1	0
49.60	UP	3	0
49.60	0	0	1
50.30	DOWN	3	0
50.30	UP	2	0
50.30	0	0	3
51.55	D	3	0
52.07	S	2	0
52.30	0	0	2
52.37	0	0	3
52.44	0	0	2
52.51	0	0	3
52.58	0	0	2
52.65	0	0	3
52.72	0	0	3
52.86	D	3	0
53.28	S	2	0
53.79	0	0	3
53.86	0	0	3
53.93	0	0	3
54.13	DOWN	1	0
56.36	D	3	0
56.86	S	2	0
57.11	D	3	0
57.86	S	2	0
58.36	D	3	0
58.86	S	2	0
59.11	D	3	0
59.86	S	2	0
60.36	D	3	0
60.86	S	2	0
61.11	D	3	0
61.86	S	2	0
62.36	D	3	0
62.61	D	3	0
62.86	S	2	0
63.11	D	3	0
63.6	DOWN	3	0
64.3	UP	2	0
65.6	DOWN	3	0
65.6	0	0	2
65.95	0	0	3
66.3	UP	2	0
66.3	0	0	4
66.3	0	0	6
66.6	0	0	5
67.6	0	0	2
67.95	0	0	3
68.3	0	0	6
68.6	0	0	5
67.55	D	3	0
68.07	S	2	0
68.86	D	3	0
69.28	S	2	0
70.13	DOWN	1	0
72.13	0	0	2
72.36	S	2	0
72.86	A	1	0
73.11	S	2	0
73.86	A	1	0
74.36	S	2	0
74.86	A	1	0
75.11	S	2	0
75.86	A	1	0
76.36	S	2	0
76.86	A	1	0
77.11	S	2	0
77.86	A	1	0
78.36	S	2	0
78.61	S	2	0
78.86	A	1	0
79.11	S	2	0
79.86	UP	1	0
81.35	UP	3	0
81.58	UP	3	0
81.86	0	0	3
82.36	D	3	0
82.86	DOWN	2	0
82.86	0	0	3
84.56	A	1	0
84.86	0	0	2
85.37	S	2	0
86.11	S	2	0
87.34	UP	2	0
89.25	DOWN	3	0
89.34	0	0	3
89.34	0	0	6
89.86	UP	1	0
91.25	DOWN	2	0
91.25	0	0	1
91.86	UP	1	0
91.86	0	0	2
93.25	0	0	1
93.33	UP	3	0
93.56	S	2	0
93.86	UP	3	0
93.86	0	0	3
95.36	S	2	0
95.86	D	3	0
96.1	D	3	0
97.25	DOWN	3	0
97.86	UP	1	0
99.25	DOWN	2	0
99.25	0	0	1
99.86	UP	1	0
99.86	0	0	2
101.25	0	0	1
101.86	0	0	3
103.6	DOWN	3	0
104.3	UP	2	0
105.6	DOWN	3	0
105.6	0	0	2
105.95	0	0	3
106.3	UP	2	0
106.3	0	0	4
106.3	0	0	6
106.6	0	0	5
107.55	D	3	0
107.6	0	0	2
107.95	0	0	3
108.07	S	2	0
108.3	0	0	6
108.6	0	0	5
108.86	D	3	0
109.28	S	2	0
110.13	DOWN	1	0
111.6	DOWN	2	0
112.13	0	0	2
112.3	UP	1	0
113.6	UP	3	0
113.6	0	0	1
114.3	DOWN	3	0
114.3	UP	2	0
114.3	0	0	3
115.55	D	3	0
116.07	S	2	0
116.3	0	0	2
116.37	0	0	3
116.44	0	0	2
116.51	0	0	3
116.58	0	0	2
116.65	0	0	3
116.72	0	0	3
116.86	D	3	0
117.28	S	2	0
117.79	0	0	3
117.86	0	0	3
117.93	0	0	3
118.13	DOWN	1	0
120.36	D	3	0
120.86	S	2	0
121.11	D	3	0
121.86	S	2	0
122.36	D	3	0
122.86	S	2	0
123.11	D	3	0
123.86	S	2	0
124.36	D	3	0
124.86	S	2	0
125.11	D	3	0
125.86	S	2	0
126.36	D	3	0
126.61	D	3	0
126.86	S	2	0
127.11	D	3	0
127.6	DOWN	3	0
128.3	UP	2	0
129.6	DOWN	3	0
129.6	0	0	2
129.95	0	0	3
130.3	UP	2	0
130.3	0	0	4
130.3	0	0	6
130.6	0	0	5
131.6	0	0	2
131.95	0	0	3
132.3	0	0	6
132.6	0	0	5
131.55	D	3	0
132.07	S	2	0
132.86	D	3	0
133.28	S	2	0
134.13	DOWN	1	0
136.13	0	0	2
